Company/Brand,Location,Sector,What it does,Investor,Amount,Stage
Licious,Bangalore,Food,Online meat shop,Vertex Growth Fund,"$30,000,000",Series E
truMe,,IoT,A global platform for Identity and Access Management,Rajan Kaistha,"$140,000",
Pumpkart,Chandigarh,E-marketplace,B2B model for appliances and electrical products,Dinesh Dua,,
Asteria Aerospace,Bangalore,Robotics & AI,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",Reliance Industries,"$230,000,000",
Rivigo,,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","SAIF Partners India VI Ltd, Spring Canter Investment Ltd","$20,000,000",Series F
HappyEasyGo,Gurugram,Travel,Online flight booking,"Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners","$49,400,000",Series B+
Zetwerk,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital","$32,000,000",Series B
Observe.AI,Bangalore,AI,Creates a voice AI platform,Scale Venture Partners,"$26,000,000",Series A
Freshokartz,Jaipur,E-marketplace,Online fruits and vegetables delivery company,ThinkLab,"$150,000",Pre series A
Lil’ Goodness and sCool meal,Bangalore,Food & Nutrition,It empowers moms to provide the best of foods to their Lil' ones,"Sajan Pillai, Muthu Krishnan,","$400,000",
Trell,Bangalore,Social Media,Blogging platform that enables people to create visual collections of their travel and local experiences,"Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah","$2,000,000",Pre series A
VMate,,,A short video platform,Alibaba,"$100,000,000",
Bombay Shirt Company,Mumbai,E-commerce,Online custom shirt brand,Lightbox Ventures,"$8,000,000",
Slintel,,SaaS,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",Stellaris Ventures,"$1,500,000",
MyGameMate,Bangalore,E-Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,"Jindagi Live Angels,","$100,000",
Afinoz,Noida,Fintech,Online financial marketplace for customized rate quotes on loans and investment products in India,Fintech innovation lab,,
Rein Games,Noida,Technology,"It develops, publishes and distributes games across various platforms","Manipal Education and Medical Group (MEMG) family office, Titan Capital","$50,000,000",Pre series A
Ecozen,Pune,AgriTech,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,Innovation in Food & Agriculture Fund (IFA Fund),"$6,000,000",Series A
Box8,Mumbai,Foodtech,Enables to order food online,Trifecta Capital,"$120,000,000",
Awign Enterprises,Bangalore,,It supplies workforce to the economy,"Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.","$4,000,000",Series A
Purplle,Mumbai,Cosmetics,Online makeup and beauty products retailer,Goldman Sachs,"$30,000,000",Series C
Freightwalla,Mumbai,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,"Amplo, FJ Labs, Rogue One Capital","$4,000,000",Series A
TapChief,Bangalore,,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,Blume Ventures.,"$1,500,000",Pre series A
eJOHRI,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,Rajesh Ranavat,"$1,000,000",Pre series A
Ninjacart,,B2B Supply Chain,"It connects producers of food directly to retailers, restuarants and service providers.","Walmart, Flipkart",,
Binca Games,Mumbai,Games,It offers games that are available across India and UK.,Sunil Gavaskar,,
KredX,Bangalore,,Invoice discounting platform,Tiger Global Management,"$26,000,000",Series B
m.Paani,Mumbai,,It digitizes and organises local retailers,"AC Ventures, Henkel","$5,500,000",Series A
Origo,Gurugram,AgriTech,It provides post-harvest management services for agricultural commodities,"Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management","$6,800,000",
WishADish,Delhi,Foodtech,Provides management solution for restaurants,Undisclosed,"$6,000,000",
Ecom Express,Gurugram,Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,CDC Group,"$36,000,000",
Stanza Living,Delhi,Accomodation,Provides comfortable and secure accomodation for students,Alteria Capital,"$5,700,000",
PiBeam,Chennai,Automotive tech,It is engaged in building sustainable and affordable micro-mobility electric vehicles,GAIL (India) Ltd,"$50,000,000",
Euler Motors,Delhi,Automotive tech,It is offering mobility as a service,"Blume Ventures, Emergent Ventures","$2,000,000",
Moms Co,New Delhi,E-commerce,It is into mother and baby care-focused consumer goods,"Saama Capital, DSG Consumer Partners","$5,000,000",Series B
Cubical Labs,,IoT,Home automation solution provider,Rockstud Capital,,Series B
Lawyered,Delhi,Legal tech,It helps to connect to legal advise online,"Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal","$100,000",
Cuemath,Bangalore,Edtech,It helps students to learn math online,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.","$5,500,000",
Licious,Bangalore,Food,Online meat shop,Vertex Ventures,"$25,000,000",Series D
Nivesh.com,Noida,Mutual Funds,The platform simplifies the process of investment,Windrose Capital,"$600,000",
Zebu,,Cybersecurity,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Undisclosed,"$4,000,000",Seed round
Smart Institute,Surat,Edtech,A platform to learn online,HNI investors,"$1,500,000",
CarDekho,Jaipur,Automobile,Enables people to buy and sell new/old cars.,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital","$70,000,000",Series D
Shadowfax,Bangalore,Logistics,A platform for delivery services,"Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC","$60,000,000",Series D
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList","$6,000,000",
Sportido,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Inflection Point Ventures, SucSEED Venture Partners.",,Series B
Phable,,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app","LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.","$220,000",
Sarva,Chennai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,"Venture fund, Fireside Ventures.","$2,800,000",
IndyFint,Bangalore,Virtual Banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Saravanan Adiseshan,"$2,100,000",Series A
Zolostays,,Accomodation,It offers affordable housing apartments to young professionals and students,Trifecta Capital,"$7,000,000",
Ola,Bangalore,Transportation,It enables one to book cab online,"Kia Motors, Hyundai","$311,000,000",
Zoomcar,Bangalore,Transport & Rentals,A car rental service platform,Zoomcar Inc,"$4,800,000",
Kratikal,Uttar pradesh,Technology,Provides cyber security solutions,"Gilda VC, Art Venture, Rajeev Chitrabhanu","$1,000,000",Pre-series A
Froogal,Hyderabad,Marketing & Customer loyalty,A cloud based Customer Loyalty & Engagement Platform,US-based angel investors,"$1,000,000",Pre series A
Infra.Market,Mumbai,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala","$20,000,000",Series A
Oyo,Gurugram,Hospitality,Provides rooms for comfortable stay,"MyPreferred Transformation, Avendus Finance, SoftBank","$693,000,000",
GoMechanic,Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,Sequoia Capital,"$5,000,000",Series B
Spinny,Delhi,Automobile,Online car retailer,"Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners","$50,000,000",
Ess Kay Fincorp,Rajasthan,Banking,Organised Non-Banking Finance Company,"TPG, Norwest Venture Partners, Evolvence India","$33,000,000",
